\*Date*\,\*Time*\,Run Time,\*LAeq*\,\*LAmax*\,Peak,SEL,Latm,LeqI,Ln1 dB,Ln1 Percent,Ln2 dB,Ln2 Percent,\*LA90*\,Ln3 Percent,Ln4 dB,Ln4 Percent,Ln5 dB,Ln5 Percent,Ln6 dB,Ln6 Percent,SPL Time Weighting,Freq.Weighting,Overload,Range,Recal.Due,Serial No.,Instrument Type,Lepd,Fractional Exposure,Exposure Time,Location,Notes,measNumber
07/02/2019,13:00,00:59:59,44.1,66.8,87.1,79.4,,,34.5,90,34.5,90,38.7,50,46.1,10,36.2,75,32.5,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,34.99611,0.00001,00:59,,,
07/02/2019,14:00,00:59:59,42.5,60.9,82.7,77.8,,,36,90,36,90,40.1,50,46.3,10,37.9,75,33.4,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,33.39611,0.00001,00:59,,,
07/02/2019,15:01,00:59:59,43.9,64.3,82.9,79.2,,,35.5,90,35.5,90,39,50,46.6,10,36.9,75,33.3,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,34.79611,0.00001,00:59,,,
07/02/2019,16:01,00:59:59,49,76.4,84.2,84.4,,,35.6,90,35.6,90,39.4,50,48,10,37,75,33.8,99,Fast,A,TRUE,20-80 dB,03/08/2004,B15091FE,CR:800,39.89611,0.00003,00:59,,,
07/02/2019,17:01,00:59:59,57.7,83.2,88.1,93,,,36.3,90,36.3,90,39.7,50,46.5,10,37.7,75,34.4,99,Fast,A,TRUE,20-80 dB,03/08/2004,B15091FE,CR:800,48.59611,0.00023,00:59,,,
07/02/2019,18:02,00:59:59,44.7,65.8,88.1,80.1,,,34,90,34,90,39.1,50,47.8,10,36.3,75,30.7,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,35.59611,0.00001,00:59,,,
07/02/2019,19:02,00:59:59,45.7,72,88.5,81.1,,,32.8,90,32.8,90,40,50,49.5,10,35.2,75,30.6,99,Fast,A,TRUE,20-80 dB,03/08/2004,B15091FE,CR:800,36.59611,0.00001,00:59,,,
07/02/2019,20:02,00:59:59,46,66.4,86,81.4,,,33,90,33,90,43.3,50,49.7,10,36.5,75,30.5,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,36.89611,0.00002,00:59,,,
07/02/2019,21:03,00:59:59,42.9,66.6,82.3,78.2,,,28.9,90,28.9,90,33.7,50,45.3,10,30.1,75,27.3,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,33.79611,0.00001,00:59,,,
07/02/2019,22:03,00:59:59,35.5,58.6,81.4,70.8,,,29.3,90,29.3,90,32.2,50,38.1,10,30.5,75,27.7,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,26.39611,0,00:59,,,
07/02/2019,23:03,00:59:59,34.5,64.6,77.9,70,,,29,90,29,90,31.9,50,36.7,10,30.3,75,27.1,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,25.39611,0,00:59,,,
07/03/2019,00:03,00:59:59,32.4,52.5,69.4,68,,,27.1,90,27.1,90,31,50,35.1,10,28.6,75,25.4,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,23.29611,0,00:59,,,
07/03/2019,01:03,00:59:59,31.1,49.6,71.8,66.7,,,26.9,90,26.9,90,29.5,50,33.3,10,27.9,75,25.6,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,21.99611,0,00:59,,,
07/03/2019,02:03,00:59:59,34.5,49.9,68.8,69.9,,,27.6,90,27.6,90,33.5,50,37.4,10,29.7,75,25.5,99,Fast,A,FALSE,20-80 dB,03/08/2004,B15091FE,CR:800,25.39611,0,00:59,,,
